signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-2,Case-2TRD_11-1,Case-2TRD_11-2,双因素,,,,,,original,Case-2TRD_11-1,A,400,13.700253,0.16417,13.701234,0.026952,-0.505184,0.209801,13.207497,14.143899,0.936402,13.495946,13.585854,13.727926,13.804091,13.900813,0.218238,0.011983,1.032308,1.000072,1.032382,0.712706,0.297395,0.015399,0.080979,0.571348,0.192982,0.192982,0.0025,0.327958,0.091692,0.012411,1.521672,1.829297,5.206173,0.215,66.636719,23.063359,10.299922,0.999928,1.113001
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-2,Case-2TRD_11-1,Case-2TRD_11-2,双因素,,,,,,original,Case-2TRD_11-2,B,400,13.910966,0.150999,13.911783,0.022801,0.319995,1.460844,13.519553,14.527701,1.008148,13.71764,13.827118,13.920857,13.989317,14.072553,0.162199,0.010855,1.044273,1.000059,1.044334,0.595272,0.217262,0.018019,0.092381,0.790297,0.283208,0.283208,0.0175,0.072323,0.121331,0.014912,1.081892,0.322016,6.252182,0.26,50.362151,33.543502,16.094347,0.999941,1.271659
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-2,Case-2TRD_11-1,Case-2TRD_11-2,双因素,,,,,,final_comm,Case-2TRD_11-1,A,400,8.59058,0.06278,8.590809,0.003941,-0.233426,0.620141,8.388202,8.797694,0.409492,8.507258,8.556295,8.596689,8.631205,8.656317,0.07491,0.007308,1.024082,1.000027,1.024109,0.362761,0.170382,0.004965,0.04492,1.259685,0.278195,0.278195,0.2175,0.054358,0.17843,0.016232,0.592408,-0.371904,6.534049,0.315,34.978625,40.201788,24.819587,0.999973,1.192167
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-2,Case-2TRD_11-1,Case-2TRD_11-2,双因素,,,,,,final_comm,Case-2TRD_11-2,B,400,8.623224,0.062815,8.623452,0.003946,-0.036617,1.266298,8.418014,8.844344,0.42633,8.546658,8.59317,8.627292,8.660919,8.690002,0.067749,0.007284,1.025615,1.000026,1.025642,0.25432,0.158004,0.005738,0.051442,1.454258,0.363409,0.363409,0.2175,0.041538,0.201531,0.01671,0.301869,-0.699337,6.884778,0.3575,25.109296,42.505924,32.38478,0.999974,1.477774
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-3,Case-2TRD_11-1,Case-2TRD_11-3,双因素,,,,,,original,Case-2TRD_11-1,A,45,13.642068,0.129237,13.642667,0.016702,0.39748,-0.734039,13.446652,13.941985,0.495334,13.489553,13.541891,13.622376,13.733983,13.809127,0.192093,0.009473,1.02194,1.000044,1.021985,0.678419,-0.623434,0.011279,0.077454,0.675305,0.272727,0.272727,0.111111,0.535223,0.124611,0.005027,2.028023,4.774288,2.55672,0.155556,24.138887,66.500899,9.360213,0.999956,1.540445
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-3,Case-2TRD_11-1,Case-2TRD_11-3,双因素,,,,,,original,Case-2TRD_11-3,B,45,14.202504,0.14795,14.203257,0.021889,0.449912,0.180955,13.869351,14.576996,0.707645,14.043957,14.097831,14.228196,14.264899,14.378721,0.167069,0.010417,1.026314,1.000053,1.026368,0.451079,0.227831,0.024999,0.114707,1.142087,0.295455,0.295455,0.177778,0.142149,0.162873,0.011394,0.673718,0.349627,3.731235,0.244444,31.543441,55.008258,13.448301,0.999947,1.252763
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-3,Case-2TRD_11-1,Case-2TRD_11-3,双因素,,,,,,final_comm,Case-2TRD_11-1,A,45,9.764579,0.060805,9.764764,0.003697,0.589372,-0.320114,9.675515,9.921093,0.245578,9.696497,9.715692,9.752227,9.806629,9.842605,0.090937,0.006227,1.01601,1.000019,1.016029,0.659529,-0.571189,0.002589,0.036761,0.700363,0.25,0.25,0.111111,0.563025,0.132013,0.004097,2.259136,6.528909,2.46418,0.177778,14.926766,78.337506,6.735728,0.999981,1.568616
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-3,Case-2TRD_11-1,Case-2TRD_11-3,双因素,,,,,,final_comm,Case-2TRD_11-3,B,45,9.963268,0.068457,9.963498,0.004686,0.417668,-0.455724,9.859577,10.138174,0.278597,9.878757,9.899736,9.96355,10.012924,10.048378,0.113188,0.006871,1.017532,1.000023,1.017555,0.403138,0.235417,0.005627,0.056339,1.200733,0.340909,0.340909,0.177778,0.266698,0.180247,0.008754,0.808053,1.690377,3.49434,0.222222,16.408113,70.534268,13.05762,0.999977,2.397895
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-4,Case-2TRD_11-1,Case-2TRD_11-4,双因素,,,,,,original,Case-2TRD_11-1,A,400,13.700253,0.16417,13.701234,0.026952,-0.505184,0.209801,13.207497,14.143899,0.936402,13.495946,13.585854,13.727926,13.804091,13.900813,0.218238,0.011983,1.032308,1.000072,1.032382,0.712706,0.297395,0.015399,0.080979,0.571348,0.192982,0.192982,0.0025,0.327958,0.091692,0.012411,1.521672,1.829297,5.206173,0.215,66.636719,23.063359,10.299922,0.999928,1.113001
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-4,Case-2TRD_11-1,Case-2TRD_11-4,双因素,,,,,,original,Case-2TRD_11-4,B,400,13.632233,0.18996,13.633553,0.036085,0.375621,-0.58291,13.182477,14.143072,0.960596,13.43373,13.489516,13.591006,13.779199,13.928357,0.289682,0.013935,1.037372,1.000097,1.037473,0.771376,0.549634,0.016556,0.089529,0.458805,0.192982,0.192982,0.0025,0.427472,0.069791,0.012179,1.901076,2.913161,4.481592,0.165,74.430709,15.911473,9.657818,0.999903,1.124483
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-4,Case-2TRD_11-1,Case-2TRD_11-4,双因素,,,,,,final_comm,Case-2TRD_11-1,A,400,8.908576,0.063631,8.908803,0.004049,-0.137636,0.615777,8.677942,9.130718,0.452776,8.824645,8.865305,8.91486,8.948056,8.980567,0.08275,0.007143,1.02491,1.000025,1.024936,0.341413,0.112029,0.005253,0.04561,1.297335,0.288221,0.288221,0.0025,0.094454,0.180484,0.018276,0.489041,-0.680172,6.561921,0.335,31.642752,38.190934,30.166314,0.999975,1.261512
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-4,Case-2TRD_11-1,Case-2TRD_11-4,双因素,,,,,,final_comm,Case-2TRD_11-4,B,400,8.894495,0.068501,8.894759,0.004692,0.03283,-0.327331,8.699213,9.078042,0.37883,8.810917,8.845689,8.890409,8.943404,8.985726,0.097714,0.007701,1.020606,1.00003,1.020636,0.361209,0.164761,0.005964,0.053008,1.271089,0.343358,0.343358,0.0025,0.142968,0.169442,0.021331,0.510982,-0.958571,6.512088,0.3525,39.02825,28.499077,32.472674,0.99997,1.419344
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-5,Case-2TRD_11-1,Case-2TRD_11-5,双因素,,,,,,original,Case-2TRD_11-1,A,400,13.700253,0.16417,13.701234,0.026952,-0.505184,0.209801,13.207497,14.143899,0.936402,13.495946,13.585854,13.727926,13.804091,13.900813,0.218238,0.011983,1.032308,1.000072,1.032382,0.712706,0.297395,0.015399,0.080979,0.571348,0.192982,0.192982,0.0025,0.327958,0.091692,0.012411,1.521672,1.829297,5.206173,0.215,66.636719,23.063359,10.299922,0.999928,1.113001
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-5,Case-2TRD_11-1,Case-2TRD_11-5,双因素,,,,,,original,Case-2TRD_11-5,B,400,13.881654,0.15894,13.882561,0.025262,-0.427735,0.433717,13.446463,14.313005,0.866543,13.707594,13.785184,13.892181,13.968239,14.08908,0.183055,0.01145,1.031006,1.000065,1.031073,0.677036,0.305105,0.0163,0.082957,0.645226,0.245614,0.245614,0.0025,0.291435,0.099412,0.013261,1.401467,1.483259,5.546435,0.205,59.98451,28.465396,11.550094,0.999935,1.185593
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-5,Case-2TRD_11-1,Case-2TRD_11-5,双因素,,,,,,final_comm,Case-2TRD_11-1,A,400,7.661317,0.0602,7.661553,0.003624,-0.049171,0.744154,7.466337,7.884619,0.418282,7.584717,7.624348,7.662111,7.701205,7.732899,0.076857,0.007858,1.029115,1.000031,1.029147,0.273214,0.060753,0.005193,0.046304,1.433027,0.303258,0.303258,0.0525,0.04685,0.195901,0.018962,0.419849,-0.93493,6.553062,0.365,33.280335,31.87486,34.844805,0.999969,1.341937
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-5,Case-2TRD_11-1,Case-2TRD_11-5,双因素,,,,,,final_comm,Case-2TRD_11-5,B,400,7.661801,0.057601,7.662017,0.003318,-0.022941,0.890616,7.440879,7.855132,0.414253,7.595503,7.630127,7.656977,7.699357,7.735841,0.06923,0.007518,1.025204,1.000028,1.025233,0.204409,-0.00714,0.005277,0.048376,1.590474,0.358396,0.358396,0.05,0.044282,0.207219,0.020463,0.318219,-1.076885,6.852744,0.3825,30.691311,29.19939,40.1093,0.999972,1.551925
pressure,MPa,Case-2TRD_11-1 vs Case-2TRD_11-6,Case-2TRD_11-1,Case-2TRD_11-6,双因素,,,,,,original,Case-2TRD_11-1,A,395,13.699313,0.164522,13.700299,0.027067,-0.502288,0.195275,13.207497,14.143899,0.936402,13.495105,13.584445,13.727829,13.803363,13.900254,0.218918,0.012009,1.032379,1.000072,1.032453,0.714826,0.297204,0.015511,0.081089,0.573053,0.190355,0.190355,0.002532,0.329815,0.090535,0.012193,1.556118,1.973956,5.152615,0.212658,66.562737,23.686541,9.750722,0.999928,1.101203
