signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-2,Case-2TRD_1-1,Case-2TRD_1-2,双因素,,,,,,original,Case-2TRD_1-1,A,400,13.867832,0.49697,13.876712,0.246979,-0.045119,-1.110367,12.920458,14.821071,1.900613,13.173497,13.524686,13.793385,14.29027,14.538943,0.765584,0.035836,1.068053,1.00064,1.068737,0.983695,0.907317,0.006678,0.041765,0.027037,0.037594,0.037594,0.005,0.375958,0.014341,0.001433,7.030609,61.957569,2.909728,0.015,97.377342,1.958579,0.664079,0.99936,0.278214
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-2,Case-2TRD_1-1,Case-2TRD_1-2,双因素,,,,,,original,Case-2TRD_1-2,B,400,13.880638,0.235169,13.882625,0.055304,0.486316,0.494548,13.39653,14.567766,1.171236,13.571715,13.765169,13.855308,13.972108,14.204969,0.206939,0.016942,1.049352,1.000143,1.049503,0.970479,0.802067,0.002321,0.025432,0.041964,0.06015,0.06015,0.005,0.50636,0.018279,0.001531,6.255239,51.789364,3.132976,0.0325,96.623615,2.702055,0.67433,0.999857,0.340103
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-2,Case-2TRD_1-1,Case-2TRD_1-2,双因素,,,,,,final_comm,Case-2TRD_1-1,A,400,10.796797,0.174479,10.798204,0.030443,-0.146523,-0.777388,10.342958,11.266285,0.923327,10.533081,10.679216,10.778892,10.945882,11.011285,0.266666,0.01616,1.043348,1.00013,1.043484,0.955194,0.834426,0.001804,0.020975,0.059258,0.057644,0.057644,0.005,0.326425,0.027329,0.003969,4.436667,22.265949,3.665479,0.0375,93.308541,4.410815,2.280644,0.99987,0.35152
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-2,Case-2TRD_1-1,Case-2TRD_1-2,双因素,,,,,,final_comm,Case-2TRD_1-2,B,400,10.801047,0.091696,10.801435,0.008408,0.538326,1.188035,10.604399,11.151926,0.547527,10.687029,10.745312,10.796187,10.850455,10.920097,0.105143,0.00849,1.032449,1.000036,1.032486,0.942978,0.665055,0.00069,0.013651,0.082101,0.067669,0.067669,0.005,0.357287,0.031556,0.003252,4.63935,25.903861,3.922235,0.045,93.857828,4.291248,1.850925,0.999964,0.471271
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-3,Case-2TRD_1-1,Case-2TRD_1-3,双因素,,,,,,original,Case-2TRD_1-1,A,400,13.867832,0.49697,13.876712,0.246979,-0.045119,-1.110367,12.920458,14.821071,1.900613,13.173497,13.524686,13.793385,14.29027,14.538943,0.765584,0.035836,1.068053,1.00064,1.068737,0.983695,0.907317,0.006678,0.041765,0.027037,0.037594,0.037594,0.005,0.375958,0.014341,0.001433,7.030609,61.957569,2.909728,0.015,97.377342,1.958579,0.664079,0.99936,0.278214
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-3,Case-2TRD_1-1,Case-2TRD_1-3,双因素,,,,,,original,Case-2TRD_1-3,B,400,13.714096,0.297413,13.717313,0.088454,0.355195,-0.147557,13.142593,14.475163,1.33257,13.32234,13.558019,13.667757,13.874573,14.108374,0.316554,0.021687,1.055248,1.000235,1.055495,0.979664,0.866763,0.003465,0.028729,0.03917,0.035088,0.035088,0.0025,0.640832,0.012659,0.001138,7.353857,71.566076,2.333663,0.015,98.099953,1.451561,0.448486,0.999765,0.328476
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-3,Case-2TRD_1-1,Case-2TRD_1-3,双因素,,,,,,final_comm,Case-2TRD_1-1,A,400,10.44672,0.16161,10.447967,0.026118,-0.262847,-0.388924,9.953794,10.844931,0.891137,10.221743,10.331701,10.455631,10.569887,10.634239,0.238186,0.01547,1.037994,1.000119,1.038118,0.949019,0.797895,0.00178,0.02112,0.068154,0.057644,0.057644,0.005,0.222977,0.031688,0.004227,4.236745,20.226393,4.176178,0.0425,92.727489,4.770683,2.501827,0.999881,0.417663
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-3,Case-2TRD_1-1,Case-2TRD_1-3,双因素,,,,,,final_comm,Case-2TRD_1-3,B,400,10.408403,0.094339,10.40883,0.0089,0.305093,-0.060313,10.188198,10.677763,0.489564,10.28734,10.3489,10.400775,10.471568,10.53153,0.122668,0.009064,1.025837,1.000041,1.025879,0.940626,0.695871,0.001023,0.016687,0.114962,0.070175,0.070175,0.0025,0.402562,0.028734,0.003292,4.779588,26.755391,3.676101,0.045,95.120103,3.096996,1.7829,0.999959,0.563942
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-4,Case-2TRD_1-1,Case-2TRD_1-4,双因素,,,,,,original,Case-2TRD_1-1,A,400,13.867832,0.49697,13.876712,0.246979,-0.045119,-1.110367,12.920458,14.821071,1.900613,13.173497,13.524686,13.793385,14.29027,14.538943,0.765584,0.035836,1.068053,1.00064,1.068737,0.983695,0.907317,0.006678,0.041765,0.027037,0.037594,0.037594,0.005,0.375958,0.014341,0.001433,7.030609,61.957569,2.909728,0.015,97.377342,1.958579,0.664079,0.99936,0.278214
pressure,MPa,Case-2TRD_1-1 vs Case-2TRD_1-4,Case-2TRD_1-1,Case-2TRD_1-4,双因素,,,,,,original,Case-2TRD_1-4,B,400,14.282121,0.210692,14.283671,0.044391,0.235375,-0.966468,13.913478,14.760993,0.847515,14.031139,14.093334,14.263347,14.444228,14.538341,0.350893,0.014752,1.033417,1.000109,1.033529,0.969641,0.802676,0.002526,0.024564,0.056909,0.0401,0.0401,0.0025,0.689762,0.016884,0.00161,5.724453,44.808242,2.476644,0.0325,96.581414,2.780366,0.638221,0.999891,0.341862
