signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-2,Case-2RCT_1-1,Case-2RCT_1-2,双因素,,,,,,original,Case-2RCT_1-1,A,60,0.385229,0.052117,0.38868,0.002716,0.471935,-0.335846,0.294572,0.50998,0.215408,0.328049,0.342093,0.384918,0.412651,0.449124,0.070558,0.135289,1.312083,1.008959,1.323838,0.040619,0.043266,0.005032,0.054983,1.852733,0.559322,0.559322,0.15,0.091539,0.245562,0.012282,0.34463,-0.610593,4.376767,0.366667,6.012516,50.60326,43.384224,0.991078,1.358123
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-2,Case-2RCT_1-1,Case-2RCT_1-2,双因素,,,,,,original,Case-2RCT_1-2,B,60,0.486782,0.050258,0.489327,0.002526,0.192625,-0.594844,0.381545,0.589592,0.208046,0.421189,0.449622,0.490266,0.511689,0.567169,0.062068,0.103246,1.204904,1.005227,1.211202,-0.291324,-0.058289,0.006526,0.06411,2.583734,0.610169,0.610169,0.216667,0.173793,0.311064,0.018051,-0.370615,-0.906379,4.172751,0.466667,9.644197,25.903469,64.452334,0.994728,1.435085
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-2,Case-2RCT_1-1,Case-2RCT_1-2,双因素,,,,,,final_comm,Case-2RCT_1-1,A,60,0.299351,0.024009,0.300296,0.000576,1.336336,3.430252,0.261302,0.398907,0.137604,0.270815,0.282965,0.298228,0.310812,0.327015,0.027848,0.080202,1.328378,1.003158,1.332572,0.247571,0.112207,0.000708,0.020522,1.228071,0.457627,0.457627,0.216667,0.109754,0.217867,0.008476,0.800403,0.316934,4.227448,0.333333,4.264551,66.083969,29.651479,0.996838,1.308333
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-2,Case-2RCT_1-1,Case-2RCT_1-2,双因素,,,,,,final_comm,Case-2RCT_1-2,B,60,0.303364,0.017742,0.303874,0.000315,0.011354,-0.384674,0.268918,0.345639,0.076721,0.275659,0.293621,0.302521,0.315756,0.324237,0.022136,0.058484,1.137442,1.00168,1.139353,0.10549,0.233047,0.000558,0.019332,1.773644,0.491525,0.491525,0.216667,0.362402,0.231943,0.00744,0.131247,0.016809,3.569541,0.316667,6.623086,58.959095,34.417819,0.998321,2.995732
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-3,Case-2RCT_1-1,Case-2RCT_1-3,双因素,,,,,,original,Case-2RCT_1-1,A,60,0.385229,0.052117,0.38868,0.002716,0.471935,-0.335846,0.294572,0.50998,0.215408,0.328049,0.342093,0.384918,0.412651,0.449124,0.070558,0.135289,1.312083,1.008959,1.323838,0.040619,0.043266,0.005032,0.054983,1.852733,0.559322,0.559322,0.15,0.091539,0.245562,0.012282,0.34463,-0.610593,4.376767,0.366667,6.012516,50.60326,43.384224,0.991078,1.358123
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-3,Case-2RCT_1-1,Case-2RCT_1-3,双因素,,,,,,original,Case-2RCT_1-3,B,60,0.575737,0.046501,0.577581,0.002162,1.108972,1.397443,0.499928,0.722792,0.222864,0.532963,0.545526,0.561227,0.599915,0.632888,0.054389,0.080768,1.251412,1.003202,1.255419,0.122509,0.063989,0.00378,0.045177,1.747994,0.40678,0.40678,0.1,0.170207,0.225346,0.021308,0.373115,-1.337034,4.168988,0.433333,18.826191,42.901721,38.272088,0.996796,1.909543
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-3,Case-2RCT_1-1,Case-2RCT_1-3,双因素,,,,,,final_comm,Case-2RCT_1-1,A,60,0.307473,0.02661,0.308603,0.000708,0.458212,0.536045,0.255902,0.391993,0.13609,0.278905,0.288972,0.306258,0.319106,0.343684,0.030134,0.086543,1.270217,1.003676,1.274886,0.147246,0.119939,0.001106,0.024883,1.5616,0.559322,0.559322,0.15,0.139262,0.232515,0.011941,0.951692,-0.142782,4.156946,0.383333,2.116582,66.999934,30.883484,0.99633,1.686399
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-3,Case-2RCT_1-1,Case-2RCT_1-3,双因素,,,,,,final_comm,Case-2RCT_1-3,B,60,0.333422,0.023307,0.334222,0.000543,0.579146,0.117522,0.298683,0.403787,0.105104,0.304172,0.315035,0.331371,0.351969,0.356141,0.036933,0.069903,1.208139,1.0024,1.211038,-0.07436,0.273548,0.001181,0.026827,2.174659,0.576271,0.576271,0.433333,0.15895,0.270151,0.018151,0.134718,-1.44778,4.065069,0.433333,5.250146,48.633618,46.116236,0.997596,2.890372
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-4,Case-2RCT_1-1,Case-2RCT_1-4,双因素,,,,,,original,Case-2RCT_1-1,A,60,0.385229,0.052117,0.38868,0.002716,0.471935,-0.335846,0.294572,0.50998,0.215408,0.328049,0.342093,0.384918,0.412651,0.449124,0.070558,0.135289,1.312083,1.008959,1.323838,0.040619,0.043266,0.005032,0.054983,1.852733,0.559322,0.559322,0.15,0.091539,0.245562,0.012282,0.34463,-0.610593,4.376767,0.366667,6.012516,50.60326,43.384224,0.991078,1.358123
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-4,Case-2RCT_1-1,Case-2RCT_1-4,双因素,,,,,,original,Case-2RCT_1-4,B,60,0.676201,0.043917,0.677602,0.001929,0.092926,-0.257813,0.567045,0.778185,0.211139,0.617717,0.645882,0.678,0.704656,0.730835,0.058775,0.064947,1.148439,1.002072,1.150818,0.163695,-0.138767,0.002895,0.044654,1.500757,0.423729,0.423729,0.033333,0.094893,0.248595,0.023754,0.139664,-1.314508,4.428876,0.433333,19.079488,28.660876,52.259636,0.997849,3.091042
pressure,MPa,Case-2RCT_1-1 vs Case-2RCT_1-4,Case-2RCT_1-1,Case-2RCT_1-4,双因素,,,,,,final_comm,Case-2RCT_1-1,A,60,0.310515,0.027187,0.311683,0.000739,0.641695,1.233129,0.257289,0.404223,0.146934,0.275948,0.293069,0.309459,0.321005,0.342212,0.027936,0.087554,1.296904,1.003762,1.301783,0.251611,0.107399,0.000977,0.022842,1.321852,0.389831,0.389831,0.15,0.149288,0.212944,0.009168,1.377333,1.412694,3.991927,0.3,2.126474,74.980895,22.892631,0.996245,1.519826
