signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-2,Case-2RCT_3-1,Case-2RCT_3-2,双因素,,,,,,original,Case-2RCT_3-1,A,60,2.125452,0.084394,2.127099,0.007122,0.345814,-0.268573,1.96238,2.357168,0.394789,2.019664,2.053502,2.120826,2.177528,2.23423,0.124026,0.039706,1.108161,1.000775,1.10902,-0.045932,-0.117491,0.01479,0.102201,2.076598,0.59322,0.59322,0.116667,0.113928,0.268681,0.022026,-0.01532,-1.567204,4.379199,0.433333,11.616081,34.70007,53.683849,0.999221,1.658228
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-2,Case-2RCT_3-1,Case-2RCT_3-2,双因素,,,,,,original,Case-2RCT_3-2,B,60,2.345281,0.086138,2.346836,0.00742,0.101538,-0.540081,2.188932,2.533483,0.344551,2.216167,2.283013,2.354194,2.396192,2.458079,0.113179,0.036728,1.079531,1.000663,1.080247,0.333842,0.193106,0.009892,0.082008,1.333129,0.389831,0.389831,0.05,0.239701,0.188286,0.016155,0.648318,-0.41015,3.771769,0.333333,30.610827,41.94645,27.442723,0.999333,2.110213
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-2,Case-2RCT_3-1,Case-2RCT_3-2,双因素,,,,,,final_comm,Case-2RCT_3-1,A,60,2.02057,0.034,2.020852,0.001156,0.297647,-0.589031,1.960891,2.096842,0.135951,1.978075,1.994899,2.0211,2.043359,2.067335,0.048459,0.016827,1.037603,1.000139,1.037748,0.388199,-0.396688,0.001438,0.030873,1.243646,0.389831,0.389831,0.116667,0.207466,0.183644,0.010003,1.171924,0.626652,3.87811,0.316667,5.308391,69.371335,25.320273,0.999861,2.564949
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-2,Case-2RCT_3-1,Case-2RCT_3-2,双因素,,,,,,final_comm,Case-2RCT_3-2,B,60,2.098728,0.032249,2.098972,0.00104,-0.232067,-0.111734,2.003822,2.163027,0.159205,2.06132,2.079444,2.096154,2.124691,2.13914,0.045247,0.015366,1.030517,1.000116,1.030637,0.255326,0.028396,0.001424,0.029364,1.369021,0.440678,0.440678,0.183333,0.269583,0.201408,0.008628,0.478183,0.432386,3.818031,0.283333,7.045204,61.698302,31.256494,0.999883,1.673976
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-3,Case-2RCT_3-1,Case-2RCT_3-3,双因素,,,,,,original,Case-2RCT_3-1,A,60,2.125452,0.084394,2.127099,0.007122,0.345814,-0.268573,1.96238,2.357168,0.394789,2.019664,2.053502,2.120826,2.177528,2.23423,0.124026,0.039706,1.108161,1.000775,1.10902,-0.045932,-0.117491,0.01479,0.102201,2.076598,0.59322,0.59322,0.116667,0.113928,0.268681,0.022026,-0.01532,-1.567204,4.379199,0.433333,11.616081,34.70007,53.683849,0.999221,1.658228
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-3,Case-2RCT_3-1,Case-2RCT_3-3,双因素,,,,,,original,Case-2RCT_3-3,B,60,2.544122,0.093538,2.545812,0.008749,-0.255581,-0.725421,2.341466,2.708554,0.367088,2.407061,2.474536,2.560914,2.615899,2.656239,0.141362,0.036766,1.063925,1.000664,1.064632,0.089832,-0.168067,0.015643,0.097676,1.787862,0.508475,0.508475,0.45,0.132156,0.229456,0.022912,0.307968,-1.375463,4.337843,0.45,29.32379,23.816778,46.859432,0.999336,2.302585
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-3,Case-2RCT_3-1,Case-2RCT_3-3,双因素,,,,,,final_comm,Case-2RCT_3-1,A,60,1.977293,0.045251,1.977802,0.002048,0.388254,-0.485268,1.896797,2.094052,0.197255,1.926227,1.941052,1.973556,2.011123,2.036875,0.070072,0.022886,1.058778,1.000257,1.05905,-0.036813,-0.072719,0.00424,0.055025,2.070754,0.59322,0.59322,0.116667,0.123171,0.2679,0.019607,0.13635,-1.536833,4.32573,0.433333,4.985346,45.360031,49.654623,0.999741,2.251292
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-3,Case-2RCT_3-1,Case-2RCT_3-3,双因素,,,,,,final_comm,Case-2RCT_3-3,B,60,2.017257,0.043491,2.017718,0.001891,0.026308,-0.348202,1.929447,2.125595,0.196147,1.961107,1.984289,2.020863,2.043323,2.076566,0.059035,0.021559,1.053465,1.000229,1.053706,0.023105,-0.137507,0.003647,0.045219,1.928092,0.508475,0.508475,0.45,0.135691,0.2493,0.021171,0.287823,-1.464977,4.304132,0.45,15.57421,38.295494,46.130296,0.999772,1.871802
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-4,Case-2RCT_3-1,Case-2RCT_3-4,双因素,,,,,,original,Case-2RCT_3-1,A,60,2.125452,0.084394,2.127099,0.007122,0.345814,-0.268573,1.96238,2.357168,0.394789,2.019664,2.053502,2.120826,2.177528,2.23423,0.124026,0.039706,1.108161,1.000775,1.10902,-0.045932,-0.117491,0.01479,0.102201,2.076598,0.59322,0.59322,0.116667,0.113928,0.268681,0.022026,-0.01532,-1.567204,4.379199,0.433333,11.616081,34.70007,53.683849,0.999221,1.658228
pressure,MPa,Case-2RCT_3-1 vs Case-2RCT_3-4,Case-2RCT_3-1,Case-2RCT_3-4,双因素,,,,,,original,Case-2RCT_3-4,B,60,2.718181,0.085214,2.719494,0.007262,0.262837,-0.567218,2.542698,2.925024,0.382326,2.612949,2.651751,2.719086,2.768167,2.8508,0.116416,0.03135,1.075577,1.000483,1.076096,0.14964,0.116886,0.012211,0.07829,1.681599,0.389831,0.389831,0.016667,0.091028,0.232381,0.022113,0.186568,-1.042341,4.488421,0.4,22.696499,29.108878,48.194623,0.9995,2.351375
